id,title,dealer,refrence_id,carlength,carwidth,carheight,m3,serial_code,manufacturer_month,registration_year,Interior_color,exterior_color,mileage,engine_no,engine_size,fuel_type,chassis_no,transmission,drive,regular_price,price_yen,sale_price,steering,air_bags,dual_air_bags,air_conditioning,dual_air_conditioning,sun_roof,power_steering,power_window,power_mirror,central_locking,key_less_entry,leather_seats,gps,player,seats,doors,push_start,tv_navi,alloy_wheels,cruise_control,grill_guard,fog_lamps,hid,parking_sensor,rear_parking_camera,pas,power_slide_doors,full_aero_kits,wooden_steering,roof_rails,rear_spoiler,weight,ss,pc,carig_one,carig_two,created_at,updated_at
8176,2012 LEXUS GS,Agasta K.K,45200319,4.85,1.84,1.45,12.94,OTOZ-8176,\N,\N,Pearl,Pearl,111947,\N,3500,Petrol,\N,AT,2wd,6200,970000,6200.26,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:20:25,2024-12-22 01:19:17
8177,2015 DAIHATSU HIJET TRUCK,Agasta K.K,45200366,3.39,1.47,1.78,8.87,OTOZ-8177,\N,\N,White,White,247808,\N,660,Petrol,\N,AT,2wd,3011,470000,3011.87,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:21:12,2025-01-24 01:07:30
8178,2022 HONDA FIT (JAZZ),Agasta K.K,45200435,3.99,1.69,1.54,10.38,OTOZ-8178,\N,\N,Black,Black,21082,\N,1300,Petrol,\N,AT,2wd,9274,1450000,9274.81,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:21:40,2025-01-20 01:08:12
8179,2016 NISSAN X-TRAIL,Agasta K.K,45200510,4.64,1.82,1.71,14.44,OTOZ-8179,\N,\N,Black,Black,114022,\N,2000,Petrol,\N,AT,2wd,5383,850000,5383.39,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:14,2024-12-27 01:23:33
8180,2017 NISSAN X-TRAIL,Agasta K.K,45200517,4.64,1.82,1.71,14.44,OTOZ-8180,\N,\N,Pearl,Pearl,65689,\N,2000,Petrol,\N,AT,2wd,8290,1240000,8290.1,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:18,2025-03-04 01:03:17
8181,2012 SUZUKI SWIFT (IGNIS),Agasta K.K,45200526,3.85,1.69,1.51,9.82,OTOZ-8181,\N,\N,Red,Red,80269,\N,1200,Petrol,\N,AT,2wd,1836,290000,1836.69,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:33,2024-12-27 01:23:56
8182,2016 TOYOTA CROWN,Agasta K.K,45200578,4.89,1.8,1.45,12.76,OTOZ-8182,\N,\N,Black,Black,23508,\N,2000,Petrol,\N,AT,2wd,17003,2680000,17003.2,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:42,2025-01-07 01:12:31
8183,2010 NISSAN CUBE,Agasta K.K,45200586,3.89,1.69,1.65,10.85,OTOZ-8183,\N,\N,Brown,Brown,107384,\N,1500,Petrol,\N,AT,2wd,1520,240000,1520.02,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:48,2024-12-27 01:25:40
8184,2018 NISSAN DAYZ,Agasta K.K,45200595,3.39,1.47,1.62,8.07,OTOZ-8184,\N,\N,Black,Black,70545,\N,660,Petrol,\N,AT,2wd,3387,530000,3387.77,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:53,2024-12-23 01:36:55
8185,2013 SUBARU XV,Agasta K.K,45200612,4.45,1.78,1.55,12.28,OTOZ-8185,\N,\N,Pearl,Pearl,101262,\N,1995,Petrol,\N,AT,2wd,4329,670000,4329.34,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:22:59,2024-12-19 01:22:59
